Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-10 00:00:56,21.91,2.66,12.84,33.8,13.76
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-11 00:00:56,22.75,2.3,26.57,56.88,19.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-12 00:00:56,30.3,1.97,51.53,138.06,56.57
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-13 00:00:56,15.23,2.47,16.42,38.91,14.64
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-14 00:00:56,18.9,2.92,38.23,89.5,33.4
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-15 00:00:56,15.78,2.44,35.77,77.75,27.47
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-16 00:00:56,14.0,1.93,28.74,62.08,21.77
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-17 00:00:56,18.07,2.24,23.18,52.59,19.21
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-18 00:00:56,21.13,2.58,53.58,119.66,43.02
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-19 00:00:56,19.09,2.86,34.51,69.39,22.7
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-20 00:00:56,19.43,2.02,26.97,60.8,22.08
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-21 00:00:56,21.26,2.2,36.14,77.85,27.17
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-22 00:00:56,23.1,2.28,41.47,87.68,30.13
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-23 00:00:56,20.95,2.12,38.24,80.49,27.53
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-24 00:00:56,24.23,1.65,55.77,121.66,42.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-25 00:00:56,30.35,1.59,30.24,70.29,26.19
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-26 00:00:56,37.49,1.61,17.01,44.9,18.22
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-27 00:00:56,25.82,1.55,28.05,58.06,19.61
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-28 00:00:56,31.77,2.28,35.31,99.74,29.51
